[시간대별 통계]
time_bucket,total,fatal,error,warn,info,debug,top_node_1,top_node_1_count,top_node_2,top_node_2_count,top_node_3,top_node_3_count
2026-01-27 08:57,4478,0,96,18,4364,0,motor_driver_node-11,1729,logistics_module_node-19,1140,sysbot_monitor_hw_node-27,631
2026-01-27 08:58,5522,0,116,57,5349,0,sysbot_monitor_hw_node-27,2380,motor_driver_node-11,778,sysbot_monitor_node-28,569

[노드별 통계]
rank,node,total_count,percent,fatal,error,warn,info,debug
1,sysbot_monitor_hw_node-27,3011,30.11,0,0,72,2939,0
2026-01-27 08:57:44,ERROR,peripheral_module_node-21,1769471864.9850211 [peripheral_module_node-21] [08:57:44.983] [peripheral_main.cpp(66)]main() ###################################################
2026-01-27 08:57:44,ERROR,peripheral_module_node-21,1769471864.9850466 [peripheral_module_node-21] [08:57:44.983] [peripheral_main.cpp(67)]main() ###################################################
2026-01-27 08:57:44,ERROR,logistics_module_node-19,1769471864.9888272 [logistics_module_node-19] [08:57:44.988] [logistics_main.cpp(54)]main() ###################################################
2026-01-27 08:57:44,ERROR,logistics_module_node-19,1769471864.9889684 [logistics_module_node-19] [08:57:44.988] [logistics_main.cpp(55)]main() ###################################################
2026-01-27 08:57:44,ERROR,logistics_module_node-19,1769471864.9890194 [logistics_module_node-19] [08:57:44.988] [logistics_main.cpp(56)]main() logistics module!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:44,ERROR,logistics_module_node-19,1769471864.9890661 [logistics_module_node-19] [08:57:44.988] [logistics_main.cpp(57)]main() ###################################################
2026-01-27 08:57:44,ERROR,logistics_module_node-19,1769471864.9891090 [logistics_module_node-19] [08:57:44.988] [logistics_main.cpp(58)]main() ###################################################
2026-01-27 08:57:44,ERROR,drive_module_node-18,1769471864.9991331 [drive_module_node-18] [08:57:44.998] [drive_main.cpp(68)]main() ###################################################
2026-01-27 08:57:44,ERROR,drive_module_node-18,1769471864.9992142 [drive_module_node-18] [08:57:44.998] [drive_main.cpp(69)]main() ###################################################
2026-01-27 08:57:44,ERROR,drive_module_node-18,1769471864.9992476 [drive_module_node-18] [08:57:44.998] [drive_main.cpp(70)]main() drive module!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
